file_name,date,prison_name,tags
CMC_20210210_359_Full,20210210,CMC,['']
CMC_20210211_446_FULL,20210211,CMC,['']
CMC_20210211_447_FULL_Family_Infection,20210211,CMC,"['Family', ' Infection']"
CMC_20210212_438_FULL_InfectionPrisonConditionsStress,20210212,CMC,"['Infection', ' Prison Conditions', ' Stress']"
CMC_20210212_439_FULL,20210212,CMC,['']
CMC_20210216_425_FULL_Stress,20210216,CMC,['Stress']
CMC_20210216_426_FULL_Infection_PrisonConditions,20210216,CMC,"['Infection', ' Prison Conditions']"
CMC_20210217_401_Full_FamilyInfectionStress,20210217,CMC,"['Family', ' Infection', ' Stress']"
CMC_20210221_488_FULL_Family_Infection_PrisonConditions,20210221,CMC,"['Family', ' Infection', ' Prison Conditions']"
CMC_20210222_454_FULL_Infection,20210222,CMC,['Infection']
CMC_20210222_490_Full,20210222,CMC,['']
CMC_20210223_499_FULL,20210223,CMC,['']
CMC_20210224_465_FULL,20210224,CMC,['']
CMC_20210225_472_FULL_Programs_Stress,20210225,CMC,"['Programs', ' Stress']"
CMC_20210225_473_FULL,20210225,CMC,['']
CMC_20210308_656_Full_InfectionPrisonConditions,20210308,CMC,"['Infection', ' Prison Conditions', ' Featured']"
CMC_20210316_550_FULL,20210316,CMC,['']
CMC_20210412_956_Full_Infection,20210412,CMC,['Infection']
CMC_20210420_711_FULL_Infection_PrisonConditions,20210420,CMC,"['Infection', ' Prison Conditions']"
Corcoran_20201224_213_FULL,20201224,Corcoran,['']
Corcoran_20201230_162_Full_Program_Family,20201230,Corcoran,"['Programs', ' Family']"
CSATF_20201123_66_FULL,20201123,CSATF,"['Infection', ' Prison Conditions', ' Stress']"
CSATF_20201214_141_FULL,20201214,CSATF,['']
CSATF_20201216_256_FULL,20201216,CSATF,['']
CSATF_20210107_228_Full_Infection,20210107,CSATF,['Infection']
CSATF_20210108_235_FULL,20210108,CSATF,['']
CSATF_20210108_236_Full,20210108,CSATF,['']
CSATF_20210108_240_Full,20210108,CSATF,['']
CSATF_20210108_242_FULL_Programs,20210108,CSATF,['Programs']
CSATF_20210111_259_Full_Infection_PrisonConditions,20210111,CSATF,"['Infection', ' Prison Conditions']"
CSATF_20210111_261_FULL_Stress_Programs,20210111,CSATF,"['Stress', ' Programs']"
CSATF_20210111_279_FULL,20210111,CSATF,['']
CSATF_20210111_281_FULL_PrisonConditions_Infection,20210111,CSATF,"['Prison Conditions', ' Infection']"
CSATF_20210111_283_Full_PrisonConditions_Stress,20210111,CSATF,"['Prison Conditions', ' Stress']"
CSATF_20210112_278_Full_Stress,20210112,CSATF,['Stress']
CSATF_20210114_265_FULL,20210114,CSATF,['']
CSATF_20210121_260_FULL_Stress_Infection,20210121,CSATF,"['Stress', ' Infection']"
CSATF_20210122_328_Full,20210122,CSATF,['']
CSATF_20210324_639_Full_Stress,20210324,CSATF,['Stress']
CSATF_20210401_606_Full_PrisonConditions,20210401,CSATF,['Prison Conditions']
CSATF_20210408_977_Full_PrisonConditionsInfection,20210408,CSATF,"['Prison Conditions', ' Infection']"
