Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
64,Chowchilla,Prison,State,12,1,-0.99998939037323,-0.99998939037323,-0.99998939037323,-0.99998939037323,-0.99998939037323
66,Chowchilla,Prison,State,4,1,0.840138912200928,0.840138912200928,0.840138912200928,0.840138912200928,0.840138912200928
71,Chowchilla,Prison,State,6,1,-0.999489307403565,-0.999489307403565,-0.999489307403565,-0.999489307403565,-0.999489307403565
89,Chowchilla,Prison,State,77,1,-0.999086737632752,-0.999086737632752,-0.999086737632752,-0.999086737632752,-0.999086737632752
47,Sonoma_Main,Jail,County,10,1,-0.999929189682007,-0.999929189682007,-0.999929189682007,-0.999929189682007,-0.999929189682007
53,Folsom,Prison,State,16,1,-0.999929428100586,-0.999929428100586,-0.999929428100586,-0.999929428100586,-0.999929428100586
69,Folsom,Prison,State,58,1,-0.999664425849915,-0.999664425849915,-0.999664425849915,-0.999664425849915,-0.999664425849915
55,CMC,Prison,State,14,1,-0.987880051136017,-0.987880051136017,-0.987880051136017,-0.987880051136017,-0.987880051136017
56,CMC,Prison,State,11,6,-0.14026389519373500,-0.9983839541673660,0.7220224440097810,0.79352480173111,-0.999996542930603
58,CMC,Prison,State,16,7,-0.9788742661476140,-0.999739855527878,-0.9630716145038610,-0.926921725273132,-0.999990463256836
59,CMC,Prison,State,11,3,-0.844772259394328,-0.9233586192131050,-0.767274707555771,-0.687599539756775,-0.999767363071442
60,CMC,Prison,State,26,6,-0.9130323131879170,-0.9929251819849020,-0.8793274164199830,-0.718083441257477,-0.999852418899536
63,CMC,Prison,State,24,1,-0.949994146823883,-0.949994146823883,-0.949994146823883,-0.949994146823883,-0.949994146823883
68,CMC,Prison,State,51,1,-0.999694228172302,-0.999694228172302,-0.999694228172302,-0.999694228172302,-0.999694228172302
55,Calipatria,Prison,State,14,1,-0.999917268753052,-0.999917268753052,-0.999917268753052,-0.999917268753052,-0.999917268753052
56,Calipatria,Prison,State,11,2,-0.9995529651641850,-0.9997507333755490,-0.9993551969528200,-0.999157428741455,-0.999948501586914
57,Calipatria,Prison,State,11,6,-0.6574784219264980,-0.9999589323997500,-0.8838130533695220,0.89759773015976,-0.999987721443176
58,Calipatria,Prison,State,16,2,-0.9912094175815580,-0.9917174726724630,-0.9907013624906540,-0.99019330739975,-0.992225527763367
60,Calipatria,Prison,State,26,2,-0.9999594688415530,-0.9999759793281550,-0.9999429583549500,-0.999926447868347,-0.999992489814758
62,Calipatria,Prison,State,12,1,-0.868362665176392,-0.868362665176392,-0.868362665176392,-0.868362665176392,-0.868362665176392
64,Calipatria,Prison,State,12,1,-0.999359667301178,-0.999359667301178,-0.999359667301178,-0.999359667301178,-0.999359667301178
65,Calipatria,Prison,State,11,1,-0.99964189529419,-0.99964189529419,-0.99964189529419,-0.99964189529419,-0.99964189529419
66,Calipatria,Prison,State,4,1,-0.999996423721314,-0.999996423721314,-0.999996423721314,-0.999996423721314,-0.999996423721314
56,Tracy,Prison,State,11,2,-0.9563259482383730,-0.9780975282192230,-0.9345543682575220,-0.912782788276672,-0.999869108200073
60,Tracy,Prison,State,26,3,-0.9836658636728920,-0.9994589388370520,-0.975695997476578,-0.952079713344574,-0.999605596065521
62,Tracy,Prison,State,12,1,-0.99955016374588,-0.99955016374588,-0.99955016374588,-0.99955016374588,-0.99955016374588
63,Tracy,Prison,State,24,2,-0.9906698167324070,-0.9951222091913220,-0.9862174242734910,-0.981765031814575,-0.999574601650238
57,Pleasant Valley,Prison,State,11,1,-0.942440569400787,-0.942440569400787,-0.942440569400787,-0.942440569400787,-0.942440569400787
