Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,case rate,death number,death rate,Persent Occupied
Vacaville_20210426_901_FULL,2021-04-26,0,NEGATIVE,-0.999993324279785,0.087,0.807,0.106,0.988,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210428_845_FULL,2021-04-28,0,NEGATIVE,-0.998905897140503,0.104,0.795,0.101,-0.9785,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210429_7_14_FULL,2021-04-29,0,NEGATIVE,-0.999976754188538,0.087,0.777,0.136,0.9984,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210430_1014_FULL_InfectionPrisonConditions,2021-04-30,0,NEGATIVE,-0.999972939491272,0.112,0.868,0.02,-0.9845,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,"['Infection', ' Prison Conditions']",69,2021-04-26,2021-05-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20210707_15983_Full,2021-07-07,0,NEGATIVE,-0.997069418430328,0.044,0.793,0.163,0.9998,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],79,2021-07-05,2021-07-11,0.0,0.0,0.0,0.0,128.2
Vacaville_20210817_646_FULL,2021-08-17,0,NEGATIVE,-0.999922037124634,0.084,0.81,0.105,0.903,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],85,2021-08-16,2021-08-22,4.0,0.0012026458208057700,0.0,0.0,128.2
Vacaville_20211227_51626_FULL,2021-12-27,0,NEGATIVE,-0.999851822853088,0.082,0.783,0.135,0.9976,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],104,2021-12-27,2022-01-02,1.0,0.0003006614552014430,0.0,0.0,128.2
Vacaville_20220114_49400_FULL,2022-01-14,0,NEGATIVE,-0.999981045722961,0.104,0.776,0.119,0.9802,Vacaville,California State Prison-Solano (SOL),Solano,3326.0,State,Prison,[''],106,2022-01-10,2022-01-16,13.0,0.0039085989176187600,0.0,0.0,128.2
Soledad_20201027_07_31_FULL,2020-10-27,0,NEGATIVE,-0.993549048900604,0.045,0.858,0.097,0.9991,Soledad,Correctional Training Facility (CTF),Monterey,4293.0,State,Prison,[''],43,2020-10-26,2020-11-01,30.0,0.0069881201956673700,0.0,0.0,153.3
Soledad_20201124_061_FULL,2020-11-24,0,NEGATIVE,-0.999803483486176,0.079,0.847,0.074,-0.296,Soledad,Correctional Training Facility (CTF),Monterey,4293.0,State,Prison,"['Prison Conditions', ' Infection']",47,2020-11-23,2020-11-29,124.0,0.028884230142091800,1.0,0.00023293733985557900,153.3
Soledad_20201215_171_FULL_Infection_Programs_Stress,2020-12-15,0,NEGATIVE,-0.999966382980347,0.096,0.784,0.12,0.9286,Soledad,Correctional Training Facility (CTF),Monterey,4293.0,State,Prison,"['Infection', ' Programs', ' Stress']",50,2020-12-14,2020-12-20,278.0,0.06475658047985090,2.0,0.0004658746797111580,153.3
Soledad_20201218_185_FULL,2020-12-18,0,NEGATIVE,-0.961376190185547,0.13,0.674,0.196,0.8453,Soledad,Correctional Training Facility (CTF),Monterey,4293.0,State,Prison,"['Infection', ' Prison Conditions', ' Stress']",50,2020-12-14,2020-12-20,278.0,0.06475658047985090,2.0,0.0004658746797111580,153.3
Soledad_20201224_219_FULL_PrisonConditionsInfectionFamily,2020-12-24,0,NEGATIVE,-0.99992847442627,0.187,0.738,0.075,-0.9959,Soledad,Correctional Training Facility (CTF),Monterey,4293.0,State,Prison,"['Prison Conditions', ' Family']",51,2020-12-21,2020-12-27,124.0,0.028884230142091800,0.0,0.0,153.3
