word,positive_count,negative_count,part_of_speech
upset,4,40,NN
animals,6,40,NNS
temperatures,1,40,NNS
pounds,3,40,NNS
info,16,40,NN
cover,3,40,NN
finish,7,40,NN
strike,3,40,NN
pull,8,40,NN
nature,7,40,NN
interact,1,40,NN
answers,5,40,NNS
infections,9,40,NNS
attempt,9,40,NN
hundreds,4,40,NNS
skills,12,40,NNS
bar,2,40,NN
solution,2,40,NN
child,10,40,NN
subject,3,40,NN
attempted,4,40,VBN
wanting,11,40,VBG
signed,3,40,VBN
bottle,1,39,NN
machine,2,39,NN
built,6,39,NN
sentences,5,39,NNS
fuck,3,39,NN
beautiful,20,39,NN
negligence,0,39,NN
telephone,3,39,NN
lunches,2,39,NNS
panic,6,39,NN
byebye,4,39,NN
cellmates,3,39,NNS
management,2,39,NN
everyones,10,39,NNS
welcome,9,39,NN
sore,3,39,NN
strange,6,39,NN
cruel,6,39,NN
closer,4,39,NN
tray,3,39,NN
car,9,39,NN
facts,3,39,NNS
segregation,3,39,NN
exercising,9,39,VBG
located,3,39,VBN
material,8,38,NN
exact,7,38,NN
sinks,2,38,NNS
doubt,5,38,NN
attack,4,38,NN
kick,3,38,NN
rule,4,38,NN
baby,8,38,NN
saturday,0,38,NN
sunday,1,38,NN
cook,2,38,NN
assistance,6,38,NN
points,3,38,NNS
luck,5,38,NN
offering,8,38,NN
copy,7,38,NN
president,4,38,NN
safer,6,38,NN
recorded,0,38,VBN
figured,4,38,VBN
overcrowding,1,38,VBG
approved,5,38,VBN
policies,1,37,NNS
relief,4,37,NN
pneumonia,2,37,NN
